Reaction Name,cost,Macromolecule ID,Macromolecule stoichiometry,EC number,turnover number
R_2AGPGAT161,719.0,b2836,1.0,not found,0
R_2AGPGAT180,719.0,b2836,1.0,not found,0
R_2AGPGAT181,719.0,b2836,1.0,not found,0
R_2DGULRGx,648.0,b3553,2.0,not found,0
R_2DGULRGy,648.0,b3553,2.0,not found,0
R_2DGULRx,648.0,b3553,2.0,not found,0
R_2DGULRy,648.0,b3553,2.0,not found,0
R_2MAHMP,273.0,b0446,1.0,3.6.1.-,9.000000000000002
R_2MAHMP_duplicate_2,154.0,b1134,1.0,not found,0
R_34dhpactex,1131.0,b1377,3.0,not found,0
R_34dhpactex_duplicate_2,1053.0,b0241,3.0,not found,0
R_34dhpactex_duplicate_3,1086.0,b0929,3.0,not found,0
R_34dhpactex_duplicate_4,1101.0,b2215,3.0,not found,0
R_3AMACHYD,266.0,b1009,1.0,3.5.1.-,9.000000000000002
R_3AMPtex,1131.0,b1377,3.0,not found,0
R_3AMPtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_3AMPtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_3AMPtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_3CMPtex,1131.0,b1377,3.0,not found,0
R_3CMPtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_3CMPtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_3CMPtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_3GMPtex,1101.0,b2215,3.0,not found,0
R_3GMPtex_duplicate_2,1086.0,b0929,3.0,not found,0
R_3GMPtex_duplicate_3,1131.0,b1377,3.0,not found,0
R_3GMPtex_duplicate_4,1053.0,b0241,3.0,not found,0
R_3HAD100,344.0,b0954,2.0,4.2.1.6,9.000000000000002
R_3HAD100_duplicate_2,906.0,b0180,6.0,not found,0
R_3HAD120,906.0,b0180,6.0,4.2.1.6,9.000000000000002
R_3HAD120_duplicate_2,344.0,b0954,2.0,not found,0
R_3HAD121,906.0,b0180,6.0,4.2.1.6,9.000000000000002
R_3HAD121_duplicate_2,344.0,b0954,2.0,not found,0
R_3HAD140,344.0,b0954,2.0,4.2.1.6,9.000000000000002
R_3HAD140_duplicate_2,906.0,b0180,6.0,not found,0
R_3HAD141,344.0,b0954,2.0,4.2.1.6,9.000000000000002
R_3HAD141_duplicate_2,906.0,b0180,6.0,not found,0
R_3HAD160,344.0,b0954,2.0,4.2.1.6,9.000000000000002
R_3HAD160_duplicate_2,906.0,b0180,6.0,not found,0
R_3HAD161,906.0,b0180,6.0,4.2.1.6,9.000000000000002
R_3HAD161_duplicate_2,344.0,b0954,2.0,not found,0
R_3HAD180,344.0,b0954,2.0,4.2.1.6,9.000000000000002
R_3HAD180_duplicate_2,906.0,b0180,6.0,not found,0
R_3HAD181,344.0,b0954,2.0,4.2.1.6,9.000000000000002
R_3HAD181_duplicate_2,906.0,b0180,6.0,not found,0
R_3HAD40,344.0,b0954,2.0,4.2.1.5,0
R_3HAD40_duplicate_2,906.0,b0180,6.0,not found,0
R_3HAD60,344.0,b0954,2.0,4.2.1.5,0
R_3HAD60_duplicate_2,906.0,b0180,6.0,not found,0
R_3HAD80,344.0,b0954,2.0,4.2.1.6,1.8
R_3HAD80_duplicate_2,906.0,b0180,6.0,not found,0
R_3HCINNMH,555.0,b0347,1.0,1.14.13,1.8
R_3HPPPNH,555.0,b0347,1.0,1.14.13,1.8
R_3HPPtex,1101.0,b2215,3.0,not found,0
R_3HPPtex_duplicate_2,1131.0,b1377,3.0,not found,0
R_3HPPtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_3HPPtex_duplicate_4,1053.0,b0241,3.0,not found,0
R_3KGK,996.0,b3580,2.0,2.7.1.5,1.8
R_3NTD2pp,648.0,b4213,1.0,3.1.3.6,3.3245094069664316
R_3NTD4pp,648.0,b4213,1.0,3.1.3.6,3.3245094069664316
R_3NTD7pp,648.0,b4213,1.0,3.1.3.6,3.3245094069664316
R_3NTD9pp,648.0,b4213,1.0,3.1.3.6,3.3245094069664316
R_3OAR100,976.0,b1093,4.0,2.3.1.8,223.159136044214
R_3OAR120,976.0,b1093,4.0,2.3.1.8,223.159136044214
R_3OAR121,976.0,b1093,4.0,1.1.1.1,8.950317515357224
R_3OAR140,976.0,b1093,4.0,2.3.1.8,223.159136044214
R_3OAR141,976.0,b1093,4.0,1.1.1.1,8.950317515357224
R_3OAR160,976.0,b1093,4.0,2.3.1.8,223.159136044214
R_3OAR161,976.0,b1093,4.0,1.1.1.1,8.950317515357224
R_3OAR180,976.0,b1093,4.0,1.1.1.1,8.950317515357224
R_3OAR181,976.0,b1093,4.0,1.1.1.1,8.950317515357224
R_3OAR40,976.0,b1093,4.0,1.1.1.1,8.950317515357224
R_3OAR60,976.0,b1093,4.0,2.3.1.8,223.159136044214
R_3OAR80,976.0,b1093,4.0,2.3.1.8,223.159136044214
R_3OAS100,812.0,b2323,2.0,2.3.1.8,223.159136044214
R_3OAS100_duplicate_2,826.0,b1095,2.0,not found,0
R_3OAS120,826.0,b1095,2.0,2.3.1.8,223.159136044214
R_3OAS120_duplicate_2,812.0,b2323,2.0,not found,0
R_3OAS121,812.0,b2323,2.0,2.3.1.4,9.000000000000002
R_3OAS140,812.0,b2323,2.0,2.3.1.8,223.159136044214
R_3OAS140_duplicate_2,826.0,b1095,2.0,not found,0
R_3OAS141,812.0,b2323,2.0,2.3.1.4,9.000000000000002
R_3OAS160,812.0,b2323,2.0,2.3.1.8,223.159136044214
R_3OAS160_duplicate_2,826.0,b1095,2.0,not found,0
R_3OAS161,812.0,b2323,2.0,2.3.1.4,9.000000000000002
R_3OAS180,826.0,b1095,2.0,2.3.1.4,9.000000000000002
R_3OAS180_duplicate_2,812.0,b2323,2.0,not found,0
R_3OAS181,826.0,b1095,2.0,2.3.1.1,0.4142463035441596
R_3OAS60,826.0,b1095,2.0,2.3.1.8,223.159136044214
R_3OAS60_duplicate_2,812.0,b2323,2.0,not found,0
R_3OAS80,812.0,b2323,2.0,2.3.1.8,223.159136044214
R_3OAS80_duplicate_2,826.0,b1095,2.0,not found,0
R_3OXCOAT,401.0,b1397,1.0,2.3.1.1,0.4142463035441596
R_3PEPTabcpp,337.0,b1246,1.0,not found,0
R_3PEPTtex,1131.0,b1377,3.0,not found,0
R_3PEPTtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_3PEPTtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_3PEPTtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_3UMPtex,1131.0,b1377,3.0,not found,0
R_3UMPtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_3UMPtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_3UMPtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_42A12BOOXpp,1524.0,b1386,2.0,1.4.99.,0.4142463035441596
R_4HOXPACDtex,1131.0,b1377,3.0,not found,0
R_4HOXPACDtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_4HOXPACDtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_4HOXPACDtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_4HTHRS,429.0,b0004,1.0,4.2.3.1,5.414794548272353
R_4PCP,304.0,b1192,1.0,not found,0
R_4PEPTabcpp,337.0,b1246,1.0,not found,0
R_4PEPTtex,1131.0,b1377,3.0,not found,0
R_4PEPTtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_4PEPTtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_4PEPTtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_5DGLCNR,254.0,b4266,1.0,1.1.1.6,20.10546406337953
R_5DGLCNt2rpp,439.0,b4265,1.0,not found,0
R_5DGLCNtex,1101.0,b2215,3.0,not found,0
R_5DGLCNtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_5DGLCNtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_5DGLCNtex_duplicate_4,1131.0,b1377,3.0,not found,0
R_5DOAN,464.0,b0159,2.0,not found,0
R_5MTRtex,1101.0,b2215,3.0,not found,0
R_5MTRtex_duplicate_2,1131.0,b1377,3.0,not found,0
R_5MTRtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_5MTRtex_duplicate_4,1053.0,b0241,3.0,not found,0
R_A5PISO,1312.0,b3197,4.0,5.3.1.1,1955.6453131680673
R_A5PISO_duplicate_2,1284.0,b2708,4.0,not found,0
R_AACPS1,719.0,b2836,1.0,6.2.1.2,0
R_AACPS2,719.0,b2836,1.0,6.2.1.2,0
R_AACPS3,719.0,b2836,1.0,6.2.1.2,0
R_AACPS4,719.0,b2836,1.0,not found,0
R_AACPS5,719.0,b2836,1.0,not found,0
R_AACPS6,719.0,b2836,1.0,6.2.1.2,0
R_AACPS7,719.0,b2836,1.0,6.2.1.l,0
R_AACPS8,719.0,b2836,1.0,6.2.1.2,0
R_AACPS9,719.0,b2836,1.0,6.2.1.l,0
R_AADDGT,359.0,b4481,1.0,2.4.1.3,0
R_AAMYL,496.0,b1927,1.0,not found,0
R_AAMYLpp,677.0,b3571,1.0,not found,0
R_AB6PGH,1916.0,b2901,4.0,3.2.1.8,0
R_ABTA,1708.0,b2662,4.0,2.6.1.1,106.8582662403116
R_ABTA_duplicate_2,422.0,b1302,1.0,not found,0
R_ABUTD,1896.0,b1444,4.0,1.2.1.3,11.411916902798422
R_ABUTt2pp,466.0,b2663,1.0,not found,0
R_ABUTtex,1131.0,b1377,3.0,not found,0
R_ABUTtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_ABUTtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_ABUTtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_ACACCT,220.0,b2221,1.0,2.8.3.9,3.1317782486252366
R_ACACT1r,872.0,b2342,2.0,2.3.1.9,162.94170736800325
R_ACACT1r_duplicate_2,394.0,b2224,1.0,not found,0
R_ACACT1r_duplicate_3,774.0,b3845,2.0,not found,0
R_ACACT2r,872.0,b2342,2.0,2.3.1.9,162.94170736800325
R_ACACT2r_duplicate_2,774.0,b3845,2.0,not found,0
R_ACACT3r,872.0,b2342,2.0,2.3.1.9,162.94170736800325
R_ACACT3r_duplicate_2,774.0,b3845,2.0,not found,0
R_ACACT4r,872.0,b2342,2.0,2.3.1.9,162.94170736800325
R_ACACT4r_duplicate_2,774.0,b3845,2.0,not found,0
R_ACACT5r,872.0,b2342,2.0,2.3.1.9,162.94170736800325
R_ACACT5r_duplicate_2,774.0,b3845,2.0,not found,0
R_ACACT6r,872.0,b2342,2.0,2.3.1.9,162.94170736800325
R_ACACT6r_duplicate_2,774.0,b3845,2.0,not found,0
R_ACACT7r,872.0,b2342,2.0,2.3.1.9,162.94170736800325
R_ACACT7r_duplicate_2,774.0,b3845,2.0,not found,0
R_ACACT8r,872.0,b2342,2.0,not found,0
R_ACACT8r_duplicate_2,774.0,b3845,2.0,not found,0
R_ACACt2pp,440.0,b2223,1.0,not found,0
R_ACACtex,1131.0,b1377,3.0,not found,0
R_ACACtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_ACACtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_ACACtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_ACALD,316.0,b0351,1.0,1.2.1.1,0
R_ACALD_duplicate_2,35680.0,b1241,40.0,not found,0
R_ACALDtex,1131.0,b1377,3.0,not found,0
R_ACALDtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_ACALDtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_ACALDtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_ACALDtpp,311.79331848529,average_protein_Cytoplasm,1.0,not found,0
R_ACANTHAT,562.0,b1463,2.0,not found,0
R_ACBIPGT,362.0,b1993,2.0,2.7.7.6,0.13152646820320596
R_ACCOAC,312.0,b3255,2.0,6.4.1.2,11.600000000000001
R_ACCOAL,653.0,b4069,1.0,6.2.1.1,17.714304292083234
R_ACGAL1Ptex,1131.0,b1377,3.0,not found,0
R_ACGAL1Ptex_duplicate_2,1053.0,b0241,3.0,not found,0
R_ACGAL1Ptex_duplicate_3,1086.0,b0929,3.0,not found,0
R_ACGAL1Ptex_duplicate_4,1101.0,b2215,3.0,not found,0
R_ACGALtex,1131.0,b1377,3.0,not found,0
R_ACGALtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_ACGALtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_ACGALtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_ACGAM1Ptex,1131.0,b1377,3.0,not found,0
R_ACGAM1Ptex_duplicate_2,1053.0,b0241,3.0,not found,0
R_ACGAM1Ptex_duplicate_3,1086.0,b0929,3.0,not found,0
R_ACGAM1Ptex_duplicate_4,1101.0,b2215,3.0,not found,0
R_ACGAMK,303.0,b1119,1.0,2.7.1.5,17.714304292083234
R_ACGAMT,369.0,b3784,1.0,not found,0
R_ACGAptspp,85.0,b2415,1.0,not found,0
R_ACGAptspp_duplicate_2,85.0,b2415,1.0,not found,0
R_ACGAtex,1131.0,b1377,3.0,not found,0
R_ACGAtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_ACGAtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_ACGAtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_ACGK,516.0,b3959,2.0,2.7.2.8,23.242047030184168
R_ACGS,2658.0,b2818,6.0,2.3.1.1,0.4142463035441596
R_ACHBS,96.0,b3670,1.0,2.2.1.6,6.769155078939867
R_ACHBS_duplicate_2,1152.0,b0077,2.0,not found,0
R_ACKr,802.0,b2296,2.0,2.7.2.1,393.600241555474
R_ACKr_duplicate_2,806.0,b3115,2.0,not found,0
R_ACKr_duplicate_3,784.0,b1849,2.0,not found,0
R_ACLS,96.0,b3670,1.0,2.2.1.6,6.769155078939867
R_ACLS_duplicate_2,1152.0,b0077,2.0,not found,0
R_ACM6PH,596.0,b2428,2.0,4.2.1.1,11829.050907938763
R_ACMAMUT,246.0,b3794,1.0,2.4.1.1,2.678607705960832
R_ACMANAptspp,85.0,b2415,1.0,not found,0
R_ACMANAtex,1131.0,b1377,3.0,not found,0
R_ACMANAtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_ACMANAtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_ACMANAtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_ACMUMptspp,85.0,b2415,1.0,not found,0
R_ACMUMtex,1131.0,b1377,3.0,not found,0
R_ACMUMtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_ACMUMtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_ACMUMtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_ACNAMt2pp,496.0,b3224,1.0,not found,0
R_ACNAMtex,1086.0,b0929,3.0,not found,0
R_ACNAMtex_duplicate_2,238.0,b4311,1.0,not found,0
R_ACNAMtex_duplicate_3,1101.0,b2215,3.0,not found,0
R_ACNML,1188.0,b3225,4.0,4.1.3.3,1.3421185060525125
R_ACOAD1f,814.0,b0221,1.0,1.3.99.,1.3421185060525125
R_ACOAD2f,814.0,b0221,1.0,1.3.99.,1.3421185060525125
R_ACOAD3f,814.0,b0221,1.0,1.3.99.,1.3421185060525125
R_ACOAD4f,814.0,b0221,1.0,1.3.99.,1.3421185060525125
R_ACOAD5f,814.0,b0221,1.0,1.3.99.,1.3421185060525125
R_ACOAD6f,814.0,b0221,1.0,1.3.99.,1.3421185060525125
R_ACOAD7f,814.0,b0221,1.0,1.3.99.,1.3421185060525125
R_ACOAD8f,814.0,b0221,1.0,not found,0
R_ACOATA,78.0,b1094,1.0,2.3.1.8,223.159136044214
R_ACODA,772.0,b3957,2.0,3.5.1.1,36.800000000000004
R_ACOLIPAabctex,366.0,b4261,1.0,not found,0
R_ACONIs,311.79331848529,average_protein_Cytoplasm,1.0,5.3.3.7,0
R_ACONMT,252.0,b1519,1.0,2.1.1.1,0
R_ACONTa,866.0,b0118,1.0,4.2.1.3,nan
R_ACONTa_duplicate_2,892.0,b1276,1.0,not found,0
R_ACONTb,866.0,b0118,1.0,4.2.1.3,nan
R_ACONTb_duplicate_2,892.0,b1276,1.0,not found,0
R_ACOTA,407.0,b1748,1.0,2.6.1.1,106.8582662403116
R_ACOTA_duplicate_2,814.0,b3359,2.0,not found,0
R_ACPPAT120,78.0,b1094,1.0,not found,0
R_ACPPAT140,78.0,b1094,1.0,not found,0
R_ACPPAT141,78.0,b1094,1.0,not found,0
R_ACPPAT160,78.0,b1094,1.0,not found,0
R_ACPPAT161,78.0,b1094,1.0,not found,0
R_ACPPAT180,78.0,b1094,1.0,not found,0
R_ACPPAT181,78.0,b1094,1.0,not found,0
R_ACPS1,195.0,b3475,1.0,2.7.8.7,0.1350096976854773
R_ACPS1_duplicate_2,254.0,b2563,2.0,not found,0
R_ACS,653.0,b4069,1.0,6.2.1.1,17.714304292083234
R_ACSERtex,1053.0,b0241,3.0,not found,0
R_ACSERtex_duplicate_2,1131.0,b1377,3.0,not found,0
R_ACSERtex_duplicate_3,1101.0,b2215,3.0,not found,0
R_ACSERtex_duplicate_4,1086.0,b0929,3.0,not found,0
R_ACSERtpp,195.0,b2578,1.0,not found,0
R_ACSERtpp_duplicate_2,299.0,b1533,1.0,not found,0
R_ACt4pp,1098.0,b4067,2.0,not found,0
R_ACtex,1131.0,b1377,3.0,not found,0
R_ACtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_ACtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_ACtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_ADA,334.0,b1623,1.0,3.5.4.4,2.5496666352241597
R_ADCL,540.0,b1096,2.0,4.1.3.3,1.3421185060525125
R_ADCS,187.0,b3360,1.0,2.6.1.8,3.7372903056440387
R_ADD,1178.0,b3665,2.0,3.5.4.2,2.8628413632884295
R_ADEt2rpp,463.0,b3654,1.0,not found,0
R_ADEt2rpp_duplicate_2,445.0,b3714,1.0,not found,0
R_ADEtex,1131.0,b1377,3.0,not found,0
R_ADEtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_ADEtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_ADEtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_ADK1,214.0,b0474,1.0,2.7.4.3,15.091747396461663
R_ADK3,214.0,b0474,1.0,2.7.4.4,0
R_ADK4,214.0,b0474,1.0,not found,0
R_ADMDC,2120.0,b0120,8.0,4.1.1.5,0
R_ADNCYC,848.0,b3806,1.0,4.6.1.1,1.67
R_ADNK1,214.0,b0474,1.0,2.7.1.7,1.67
R_ADNUC,304.0,b0030,1.0,3.2.2.8,0.5345058137336586
R_ADNt2pp_copy1,418.0,b2964,1.0,not found,0
R_ADNt2pp_copy1_duplicate_2,400.0,b2393,1.0,not found,0
R_ADNt2pp_copy2,418.0,b2406,1.0,not found,0
R_ADNtex,294.0,b0411,1.0,not found,0
R_ADOCBIK,362.0,b1993,2.0,2.7.1.1,0
R_ADOCBLS,248.0,b1992,1.0,2.7.8.2,0
R_ADOCBLabcpp,498.0,b1709,2.0,not found,0
R_ADOCBLtonex,614.0,b3966,1.0,not found,0
R_ADPRDP,374.0,b3397,2.0,3.6.1.1,79.13980969143041
R_ADPRDP_duplicate_2,424.0,b3034,2.0,not found,0
R_ADPT,366.0,b0469,2.0,2.4.2.8,1.0002512201227234
R_ADSK,201.0,b2750,1.0,2.7.1.2,25.646061171419976
R_ADSL1r,1824.0,b1131,4.0,4.3.2.2,2.3403177863411355
R_ADSL2r,1824.0,b1131,4.0,4.3.2.2,2.3403177863411355
R_ADSS,866.0,b4177,2.0,6.3.4.4,0.3185274122112713
R_AGDC,1532.0,b0677,4.0,3.5.1.2,101.00000000000003
R_AGM3PA,184.0,b0110,1.0,not found,0
R_AGM3PApp,417.0,b2817,1.0,not found,0
R_AGM3PApp_duplicate_2,289.0,b2435,1.0,not found,0
R_AGM3PApp_duplicate_3,445.0,b4169,1.0,not found,0
R_AGM3PH,341.0,b1107,1.0,not found,0
R_AGM3Pt2pp,491.0,b0433,1.0,not found,0
R_AGM4PA,184.0,b0110,1.0,not found,0
R_AGM4PApp,417.0,b2817,1.0,not found,0
R_AGM4PApp_duplicate_2,289.0,b2435,1.0,not found,0
R_AGM4PApp_duplicate_3,445.0,b4169,1.0,not found,0
R_AGM4PCP,304.0,b1192,1.0,not found,0
R_AGM4PH,341.0,b1107,1.0,not found,0
R_AGM4Pt2pp,491.0,b0433,1.0,not found,0
R_AGMH,341.0,b1107,1.0,not found,0
R_AGMHE,1555.0,b3619,5.0,5.1.3.2,20.132958765707397
R_AGMT,307.0,b2937,1.0,3.5.3.1,0
R_AGMt2pp,491.0,b0433,1.0,not found,0
R_AGMtex,1131.0,b1377,3.0,not found,0
R_AGMtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_AGMtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_AGMtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_AGPAT120,245.0,b3018,1.0,2.3.1.5,30.243138325488616
R_AGPAT140,245.0,b3018,1.0,2.3.1.5,30.243138325488616
R_AGPAT141,245.0,b3018,1.0,2.3.1.5,30.243138325488616
R_AGPAT160,245.0,b3018,1.0,2.3.1.5,30.243138325488616
R_AGPAT161,245.0,b3018,1.0,2.3.1.5,30.243138325488616
R_AGPAT180,245.0,b3018,1.0,2.3.1.5,30.243138325488616
R_AGPAT181,245.0,b3018,1.0,2.3.1.5,30.243138325488616
R_AGPR,334.0,b3958,1.0,1.2.1.3,11.411916902798422
R_AGt3,2442.0,b0574,6.0,not found,0
R_AHCYSNS,464.0,b0159,2.0,3.2.2.9,0.28323377941443867
R_AICART,529.0,b4006,1.0,2.1.2.3,0.7937005259840998
R_AIRC2,710.0,b0522,2.0,6.3.4.1,0
R_AIRC3,1352.0,b0523,8.0,5.4.99.,0
R_AKGDH,1868.0,b0726,2.0,2.3.1.6,0
R_AKGt2rpp,432.0,b2587,1.0,not found,0
R_AKGtex,1131.0,b1377,3.0,not found,0
R_AKGtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_AKGtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_AKGtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_ALAALAD,194.0,b1488,1.0,3.4.13.,0
R_ALAALAabcpp,328.0,b1484,1.0,not found,0
R_ALAALAabcpp_duplicate_2,327.0,b3541,1.0,not found,0
R_ALAALAr,366.0,b0381,1.0,6.3.2.4,8.712739656605114
R_ALAALAr_duplicate_2,308.0,b0092,1.0,not found,0
R_ALAALAtex,1131.0,b1377,3.0,not found,0
R_ALAALAtex_duplicate_2,1053.0,b0241,3.0,not found,0
R_ALAALAtex_duplicate_3,1086.0,b0929,3.0,not found,0
R_ALAALAtex_duplicate_4,1101.0,b2215,3.0,not found,0
R_ALAGLUE,322.0,b1325,1.0,5.1.1.2,0
R_ALAR,357.0,b1190,1.0,5.1.1.1,62.0483682299543
R_ALAR_duplicate_2,720.0,b4053,2.0,not found,0
